E=   1.00000E-003Unitarity   4.95280E-013
   1   2.15899E-001   9.77138E-001
   2   3.19487E+000   8.18063E-002
   3   3.54188E+000   5.78694E-002
   4   6.34043E+000   3.52707E-003
   5   6.59464E+000   2.73535E-003
   6   9.33489E+000   1.76579E-004
   7   9.57541E+000   1.38830E-004
   8   1.23509E+001   8.65159E-006
   9   1.23683E+001   8.50275E-006
  10   1.51697E+001   5.16326E-007
  11   1.52250E+001   4.88533E-007
  12   1.79668E+001   3.14875E-008
  13   1.79887E+001   3.08068E-008
  14   2.06881E+001   2.07154E-009
  15   2.07214E+001   2.00368E-009
  16   2.33110E+001   1.50384E-010
  17   2.34474E+001   1.31208E-010
  18   2.59802E+001   1.04226E-011
  19   2.60186E+001   1.00300E-011
  20   2.84796E+001   8.56034E-013
  21   2.86468E+001   7.24223E-013
  22   3.10065E+001   6.84029E-014
  23   3.11295E+001   6.04840E-014
  24   3.34399E+001   6.00176E-015
  25   3.35810E+001   5.21192E-015
  26   0.00000E+000   5.67896E-016
  27   0.00000E+000   4.82076E-016
  28   0.00000E+000   1.07205E-016
  29   0.00000E+000   9.36340E-017
  30   0.00000E+000   7.99177E-017
  31   0.00000E+000   7.78106E-017
  32   0.00000E+000   7.47719E-017
  33   0.00000E+000   7.33655E-017
  34   0.00000E+000   7.17406E-017
  35   0.00000E+000   6.93039E-017
  36   0.00000E+000   6.75430E-017
  37   0.00000E+000   6.49998E-017
  38   0.00000E+000   6.25980E-017
  39   0.00000E+000   6.07739E-017
  40   0.00000E+000   5.94073E-017
  41   0.00000E+000   5.82176E-017
  42   0.00000E+000   5.54765E-017
  43   0.00000E+000   5.36441E-017
  44   0.00000E+000   5.21744E-017
  45   0.00000E+000   5.11415E-017
  46   0.00000E+000   5.03832E-017
  47   0.00000E+000   4.79588E-017
  48   0.00000E+000   4.69927E-017
  49   0.00000E+000   4.56248E-017
  50   0.00000E+000   4.45707E-017
  51   0.00000E+000   4.19269E-017
  52   0.00000E+000   4.13768E-017
  53   0.00000E+000   4.00791E-017
  54   0.00000E+000   3.92949E-017
  55   0.00000E+000   3.83665E-017
  56   0.00000E+000   3.70179E-017
  57   0.00000E+000   3.58427E-017
  58   0.00000E+000   3.54352E-017
  59   0.00000E+000   3.35947E-017
  60   0.00000E+000   3.26396E-017
  61   0.00000E+000   3.16252E-017
  62   0.00000E+000   3.04838E-017
  63   0.00000E+000   2.97956E-017
  64   0.00000E+000   2.84294E-017
  65   0.00000E+000   2.76880E-017
  66   0.00000E+000   2.63223E-017
  67   0.00000E+000   2.58427E-017
  68   0.00000E+000   2.44547E-017
  69   0.00000E+000   2.32738E-017
  70   0.00000E+000   2.23616E-017
  71   0.00000E+000   2.11911E-017
  72   0.00000E+000   2.05302E-017
  73   0.00000E+000   1.91967E-017
  74   0.00000E+000   1.79761E-017
  75   0.00000E+000   1.74631E-017
  76   0.00000E+000   1.64050E-017
  77   0.00000E+000   1.51412E-017
  78   0.00000E+000   1.44239E-017
  79   0.00000E+000   1.41066E-017
  80   0.00000E+000   1.35103E-017
  81   0.00000E+000   1.26660E-017
  82   0.00000E+000   1.17503E-017
  83   0.00000E+000   1.12650E-017
  84   0.00000E+000   1.08825E-017
  85   0.00000E+000   9.54526E-018
  86   0.00000E+000   8.81944E-018
  87   0.00000E+000   7.50311E-018
  88   0.00000E+000   7.23190E-018
  89   0.00000E+000   6.44917E-018
  90   0.00000E+000   5.67295E-018
  91   0.00000E+000   5.05001E-018
  92   0.00000E+000   4.58496E-018
  93   0.00000E+000   3.91654E-018
  94   0.00000E+000   3.45784E-018
  95   0.00000E+000   2.86878E-018
  96   0.00000E+000   1.94759E-018
  97   0.00000E+000   1.35086E-018
  98   0.00000E+000   9.34652E-019
  99   0.00000E+000   4.65858E-019
 100   0.00000E+000   1.07212E-019
